Producto ,,,,,
Perfumes | Masculinos,,x30 Unidades,x20 Unidades,x10 Unidades,x5 Unidades
Afnan 9PM (Negro),"$68,000",$32,$36,$39,$47
Afnan 9PM Rebel (Rojo),"$95,000.00",$37,$41,$44,$52
Armaf Odyssey Mandarin Sky,"$89,000.00",$44,$48,$51,$59
Armaf Odyssey Wild One Gold ,"$75,000",$36,$40,$43,$51
Armaf Odyssey Homme White ,"$75,000",$36,$40,$43,$51
Al Wataniah Bareeq Al Dhahab ,"$45,000",$18,$22,$25,$33
Sauvage – Dior 100ml,"$175,000",$105,$109,$112,$120
Al Wataniah Kenz Al Malik ,"$45,000",$18,$22,$25,$33
Set Neceser Jaguar ,"$75,000",$27,$31,$34,$42
Azzaro The Most Wanted Parfum,"$190,000",$107,$111,$114,$122
Xerjoff Erba Pura ,"$383,600",$201,$205,$208,$216
Salvo - Maison Alhambra ,"$50,000",$18,$22,$25,$33
Al Haramain Amber Oud Dubai Night,"$134,999",$54,$58,$61,$69
Bharara King 200ml,"$170,000",$70,$74,$77,$85
Bharara King 150ml,"$150,000",$72,$76,$79,$87
Bharara King 100ml,"$125,000",$55,$59,$62,$70
Club de Nuit Iconic,"$85,000",$44,$48,$51,$59
Club de Nuit Intense,"$65,000",$29,$33,$36,$44
Club de Nuit Urban Elixir,"$80,000",$39,$43,$46,$54
Maison Alhambra Alpine Homme Sport ,"$50,000",$21,$25,$28,$36
Kismet Magic - Maison Alhambra ,"$55,000",$25,$29,$32,$40
Noir en Leather - Pendora Scents,"$60,000",$29,$33,$36,$44
Lattafa The Kingdom ,"$68,000",$36,$40,$43,$51
Lattafa Asad,"$55,000",$25,$29,$32,$40
Lattafa Asad Bourbon,"$69,000",$34,$38,$41,$49
Lattafa Bade Al Oud For Glory (Negro),"$47,999",$23,$27,$30,$38
Lattafa Fakhar Black Masculino,"$55,000",$23,$27,$30,$38
Producto ,,,,,
Perfumes | Masculinos,,x30 Unidades,x20 Unidades,x10 Unidades,x5 Unidades
Lattafa Musaman Men ,"$79,000",$39,$43,$46,$54
Le Male Elixir Jean Paul Gaultier,"$199,000",$110,$114,$117,$125
Rasasi Hawas,"$92,999.00",$44,$48,$51,$59
Afnan Supremacy,"$88,000",$35,$39,$42,$50
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Producto ,,,,,
Perfumes | Unisex,,x30 Unidades,x20 Unidades,x10 Unidades,x5 Unidades
Lattafa Confidential Private Gold EDP,"$50,000",$20,$24,$27,$35
9am Dive,"$80,000",$34,$38,$41,$49
Armaf Club de Nuit Precieux ,"$120,000",$20,$24,$27,$35
Amber Rouge – Orientica,"$118,000",$20,$24,$27,$35
Philos Pura - Maison Alhambra,"$60,000",$23,$27,$30,$38
Infini Elixir - Maison Alhambra ,"$55,000",$19,$23,$26,$34
Eternal Touch - Maison Alhambra ,"$75,000",$27,$31,$34,$42
Voux Turquoise - Paris Corner ,"$98,000",$50,$54,$57,$65
Ameerati - Al wataniah,"$45,000",$18,$22,$25,$33
Al Haramain Amber Oud White Edition ,"$120,000",$50,$54,$57,$65
Al Haramain Ruby Edition ,"$159,000",$61,$65,$68,$76
Al Haramain Bleu Edition ,"$140,000",$60,$64,$67,$75
Al Haramain Amber Oud Aqua Dubai,"$130,000",$62,$66,$69,$77
Al Haramain Amber Oud Gold Edition,"$130,000",$57,$61,$64,$72
Al Haramain Amber Oud Gold Extreme,"$155,000",$71,$75,$78,$86
Al Haramain Oudh Musk,"$150,000",$55,$59,$62,$70
Club de Nuit Untold,"$90,000",$23,$27,$30,$38
Lattafa Winners Trophy,"$65,000",$32,$36,$39,$47
Lattafa Azeezah ,"$45,000",$16,$20,$23,$31
Lattafa Ejaazi Intensive Silver,"$50,000",$21,$25,$28,$36
Lattafa Al Noble Wazeer,"$60,000",$27,$31,$34,$42
Lattafa Al Noble Safeer Green,"$55,000",$24,$28,$31,$39
Lattafa Bade Al Oud Amethyst,"$50,000",$24,$28,$31,$39
Lattafa Bade Al Oud Honor & Glory,"$65,000",$25,$29,$32,$40
Lattafa Bade Al Oud Sublime,"$55,000",$26,$30,$33,$41
Lattafa Emeer,"$70,000",$31,$35,$38,$46
Lattafa Khamrah,"$55,000",$31,$35,$38,$46
Lattafa Khamrah Qawha,"$59,000",$26,$30,$33,$41
Producto ,,,,,
Perfumes | Unisex,,x30 Unidades,x20 Unidades,x10 Unidades,x5 Unidades
Lattafa Masa,"$90,000",$42,$46,$49,$57
Lattafa Nebras Pride,"$69,000",$33,$37,$40,$48
Lattafa Qaed Fursan,"$45,000",$18,$22,$25,$33
Lattafa Qaed Fursan Unlimited,"$45,000",$19,$23,$26,$34
Lattafa Qaa´ed ,"$48,000",$19,$23,$26,$34
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Producto ,,,,,
Perfumes | Femeninos,,x30 Unidades,x20 Unidades,x10 Unidades,x5 Unidades
212 VIP Rose Elixir NYC,"$180,000.00",$32,$36,$39,$47
Olympea – Paco Rabanne ,"$135,000",$37,$41,$44,$52
Afnan 9AM Pour Femme (Rosa),"$79,000",$36,$40,$43,$51
Afnan 9PM Pour Femme (Violeta),"$73,000",$18,$22,$25,$33
Al Haramain Ultra Violet,"$159,000",$18,$22,$25,$33
Lattafa Fakhar Rose Femenino,"$55,000",$27,$31,$34,$42
Lattafa Yara Candy ,"$59,000",$107,$111,$114,$122
Lattafa Yara Pink ,"$55,000",$201,$205,$208,$216
Lattafa Yara Tous,"$55,000",$18,$22,$25,$33
Lattafa Yara Moi,"$55,000",$54,$58,$61,$69
Lattafa Eclaire ,"$69,000",$70,$74,$77,$85
Lattafa Emaan ,"$60,000",$72,$76,$79,$87
Lattafa Ansaam Gold ,"$65,000",$55,$59,$62,$70
Lattafa Haya ,"$60,000",$44,$48,$51,$59
Lattafa Hayaati Florence,"$55,000",$29,$33,$36,$44
Lattafa Mayar,"$55,000",$39,$43,$46,$54
Lattafa Bade Al Oud Noble Blush,"$75,000",$21,$25,$28,$36
Lattafa Atheeri,"$85,000",$25,$29,$32,$40
Lattafa Qimmah For Woman,"$65,000",$29,$33,$36,$44
Maison alhambra Como Moiselle ,"$50,000",$36,$40,$43,$51
Al Wataniah Durrat Al Aroos,"$60,000",$25,$29,$32,$40
Armaf Oddysey Candee,"$88,000",$35,$39,$42,$50
Calvin Klein One Shock For Her,"$80,000",$34,$38,$41,$49
Club de Nuit Imperiale,"$85,000",$23,$27,$30,$38
Club de Nuit Woman,"$65,000",$23,$27,$30,$38
Halloween EDT Femenino,"$85,000",$39,$43,$46,$54
Scandal – Jean Paul Gaultier ,"$153,000",$110,$114,$117,$125
Toy 2 – Moschino ,"$112,000",$44,$48,$51,$59
VICTORIA SECRET,,,,,
* BODY SPLASH 250 ML:,,,,,
Agua kiss,"$38,000",$5,$9,$12,$20
Rush New,"$38,000",$5,$9,$12,$20
Temptation ,"$38,000",$5,$9,$12,$20
Love spell,"$38,000",$5,$9,$12,$20
Romantic,"$38,000",$5,$9,$12,$20
Midnight Bloom,"$38,000",$5,$9,$12,$20
Bare vainilla,"$38,000",$5,$9,$12,$20
Coconut passion,"$38,000",$5,$9,$12,$20
Pure seduction,"$38,000",$5,$9,$12,$20
Amber romance,"$38,000",$5,$9,$12,$20
Strawberry champagne,"$38,000",$5,$9,$12,$20
Puré seduction daydream,"$38,000",$5,$9,$12,$20
Velvet petals,"$38,000",$5,$9,$12,$20
* BODY LOTION 236 ML:,,,,,
Bare vainilla,"$35,000",$5,$9,$12,$20
Bare vainilla Shimmer,"$35,000",$5,$9,$12,$20
Coconut passion,"$35,000",$5,$9,$12,$20
Puré seduction,"$35,000",$5,$9,$12,$20
Love spell,"$35,000",$5,$9,$12,$20
Love spell Shimmer,"$35,000",$5,$9,$12,$20
Velvet petals Shimmer,"$35,000",$5,$9,$12,$20
* GLOSS:,,,,,
LIP plumper pink,"$28,000",$5,$9,$12,$20
Ph lip oil pink,"$28,000",$5,$9,$12,$20
Gleaming color shine lip gloss,"$28,000",$5,$9,$12,$20
* BRUMA:,,,,,
V.s tease sugar fleur 250ml,"$48,999",$5,$9,$12,$20
* PACKS:,,,,,
Pcs x 2 very sexy night,,$5,$9,$12,$20
Pcs x 2 bombeshell,"$49,000",$33,$37,$40,$48
Pcs x 5 tease,"$189,000",$110,$114,$117,$125
* FRAGANCIAS:,,,,,
Victoria Secret Bombeshell glamour,"$139,000.00",$93,$97,$100,$108
Crema Karsell ,"$37,000",$26,$30,$33,$41